username,date,comment,likes,scraped_at,source
Morty,13 saat önce,Maduro madara oldu diyebilir miyiz,0,2026-01-04 13:44:39,USD/TRY
Ahmet Yıldız,13 saat önce,gazoz gibi içtiler,0,2026-01-04 13:44:39,USD/TRY
Ahmet Yıldız,13 saat önce,yanındada altınları petrollerini promosyon olarak alırlar,0,2026-01-04 13:44:39,USD/TRY
dört çeker,12 saat önce,pazartesi piyasalar icin epey riskli duruyor,0,2026-01-04 13:44:39,USD/TRY
gau gau,13 saat önce,"mudorro,alnı seçda olmadığı içinbunlar başına geld,quazüüüü",0,2026-01-04 13:44:39,USD/TRY
Morty,13 saat önce,"Allahtan petrolumuz yok , cok takmiyorlar bizi..ulan dur bizimki habire gaz cikariyor yapma olm",0,2026-01-04 13:44:39,USD/TRY
gau gau,13 saat önce,"dostumtrup,arkadaşım mudrooo,pekett",0,2026-01-04 13:44:39,USD/TRY
Max Payne,13 saat önce,venezullada 44.01 acti,0,2026-01-04 13:44:39,USD/TRY
Frodo Baggins Frodo Baggins,13 saat önce,"Mağdur değil , anlaşık . Patara çatara tiyatrosu oldu , Yersen . Sattı kaçtı . NY da misafir şimdi . Holywood filmi bunlar",0,2026-01-04 13:44:39,USD/TRY
Cumamoto Muthishbıshı,13 saat önce,ARİGATO 目r幅,0,2026-01-04 13:44:39,USD/TRY
dört çeker,13 saat önce,madduuronun altttinlari ve dlarlarinin bir kismi buradaymisss truupp hepsinin toplayacakmiss,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,benim hatirladigim en az 2 kez ta buraya sar aya gelmistı ne goruştulerse artik,0,2026-01-04 13:44:39,USD/TRY
dört çeker,13 saat önce,altinlarini getirtti corumda ahlatttciya kulceye dokturdu bir kismi burada kalmistir mutlaka cunku bize guveniyordu,0,2026-01-04 13:44:39,USD/TRY
dört çeker,13 saat önce,trupp tum dunyadaki malvarliklarinida toplayacakmis iste sorun burada,0,2026-01-04 13:44:39,USD/TRY
Frodo Baggins Frodo Baggins,13 saat önce,"Maduro anlaşıp kaçmadıysa ben de birşey bilmiyorum. Sözde biri Mağdur, öteki artist Madurfakır oldu, mahalleye şov . Anlaştı sattı memleketini Mağdur efendi ,kaçtı NY a işte . Orada da itirafçı ederler .",0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,irak suriye iran venezuelada .. hep icerden insanlari satin aliyorlar ...,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,13 saat önce,ossmon,0,2026-01-04 13:44:39,USD/TRY
Eski Rizeli Yeni Suriyeli Recep,13 saat önce,Osmann Çommaroğlu,0,2026-01-04 13:44:39,USD/TRY
Tayyar Demleniyo,13 saat önce,Dostum turb yallarıım,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,tuik deflatorun coh guzel 17750 dolar az milii geliri 27 bin de yaparsin,0,2026-01-04 13:44:39,USD/TRY
Eski Rizeli Yeni Suriyeli Recep,13 saat önce,Ossman gohötvrrenoğulları,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,13 saat önce,ossmon maduroğlu,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,13 saat önce,biloll erduvan böyudü mg yaşı gelldı mg,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,7 kat buyuduk dedi seh zade bilal ekhonomi coh guclu,0,2026-01-04 13:44:39,USD/TRY
Tayyar Demleniyo,13 saat önce,Tayyar kaçırmasınlar diye gendini sarayın dehlizine kitlemiş,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,ne notası muzik notasi mi vercez amarigaya as ker lerimize cuval gecirmesi olur oyle seyler coh bagimsiz ve gucluyuz,0,2026-01-04 13:44:39,USD/TRY
dört çeker,13 saat önce,dx 105 olursa ortalik karisir,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,13 saat önce,Mangalda kül bırakmayan her gün neden ya hu ya vam pır diyen topal abd yı kınayamadı,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,aaah su mon cher ler artik eski tur kiye yok coh bagimsiz ve guc lu yuz,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,13 saat önce,"bir mektupla rahibi alan ,bir ziyaret ile ülkeyi alır bakın ,omzu düşük gurcü abd ye muhtaç 23 yıldır kazandıran emperyalisler ne derse yapmak zorunda",0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,13 saat önce,megerse ab de. abd sal dirisi sonrasi ididal tavsiye etmiş ! bizim uy du diş isleri onu kopyalamiş,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,"Benim adım cuma ,be bek ga ti line taviz veren abd ye do ma lır arkadaşlar",0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,PAZARITESİ ONS UZAYA DOĞRU GİDECEK BEN KAZANACAM AMA KADİM VİNEZUELLA HALKI KAYBEDECEK,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,Donold duck neden yahu ya Türkiye ile uğraşma ben bi telefon ediyorum her istediğimi yapıyor diyor,0,2026-01-04 13:44:39,USD/TRY
dört çeker,14 saat önce,mmmudddooro nun alltinlari nerede,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,içeride o C selami gibi hein ler olduğu için maduro yu rahatça aldılar,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,14 saat önce,ossmon venezülla vatondoşu ollmok içün yolo çıkdı mg,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,"vinezuyella altın ve petrol rezer vi olarak çok zengin halkı ise çok fakirdir ,bir nevi bob projesi",0,2026-01-04 13:44:39,USD/TRY
gau gau,14 saat önce,"muduro,lo,nerde.lö",0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,Abd nin olduğu yerde ot bitmez,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,14 saat önce,venezülla viza virmadi mg,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,14 saat önce,venezülla turkiyadon işçi alacekmış mg,0,2026-01-04 13:44:39,USD/TRY
dört çeker,14 saat önce,dx pazartesi 105 deniyor,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,Ben kaptan cuma bu ülkenin vatandaşı ve hizmetkarı olarak atalarımdan aldığım feyizle selami gibi o e larına bu ülkeyi yedirmem,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,akşama kadar araba tamir edip fatura kesiyorum milletime hizmet ediyorum,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,14 saat önce,tamam oldu tesla gibileri onarma ama pili bitsin,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,14 saat önce,"onları onaran yok komple kit olarak pil değişiyo ,ayrıca tesla ya binen vatan heini dir canlı bom ba onlar",0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,14 saat önce,abd sal diŕilari bizim unvllerde ul ku cu sal di risi gibi sonra unv lerde dis isleri pardon iç isleri unv tede cat is ma cikti ididal der,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,venezülla amaricaya guyrunk salladi mg,0,2026-01-04 13:44:39,USD/TRY
Erkan Çongar,15 saat önce,dişişlerimiz abd hay dut lugu karsisinda ididal tavsiye ediyo ! bi de her seyi garibim badem davidov a yikarlar hala,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,venezülla başladdı mg,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,venezülla tamam... sıradağki irann mg,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,15 saat önce,o C selami gibilet abd nin Türkiye şube si a k parti nin tro lü dür,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,kim bu gizemlli salami mg,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,15 saat önce,mu ha lıf görünümlü ye hu da yetiştirmesi ah bardi ti rolü,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,ossmon salamoğlu,0,2026-01-04 13:44:39,USD/TRY
Ord Prf Dr KAPTAN CUMA,15 saat önce,o C selami gibi abd yanlıları venezuellanın başına gelenin aynısının Türkiyeninde başına gelmesini istiyolar,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,turkiyanin başıno bela bilem gellmak istemaz mg,0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,maduroğlan vs hılışdaroğlan,0,2026-01-04 13:44:39,USD/TRY
gau gau,15 saat önce,"helebirsen adamlarabombaatmadan,inbakayımülkeye,sarrrrıcivcivvvv",0,2026-01-04 13:44:39,USD/TRY
DOᑎ Jᴏᴡᴇꜱ,15 saat önce,maduroğlandon sonro sıra hılışdaroğlondo mg,0,2026-01-04 13:44:39,USD/TRY
gau gau,15 saat önce,"bindokuzyüzotuzlarda ki bir liderinn,kütününnngılllı biledeel,bu tannarrr",0,2026-01-04 13:46:05,USD/TRY
gau gau,15 saat önce,"mngaydığımınntayyarımodddorodostum,ne oldu,kurtaradamı",0,2026-01-04 13:46:05,USD/TRY
SEDAT PARK OTEL BEYOĞLU,15 saat önce,Ata mata yok sadece Re is var,0,2026-01-04 13:46:05,USD/TRY
