username,date,comment,likes,scraped_at,source
Vecihi Hüroğlu,01 Ara 2021 22:10,"Fed Başkanı Jerome Powell, kalıcı yüksek enflasyon riskinin arttığını belirterek, &quot;Enflasyonun kalıcı hale gelmemesi için araçlarımızı kullanacağız&quot; dedi. ______________________________________________https://www.dunya.com/kuresel-ekonomi/powell-enflasyonun-kalici-hale-gelmemesi-icin-araclarimizi-kullanacagiz-haberi-641518",0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,01 Ara 2021 21:58,Nebati: Bu sefer düşük faiz politikamızı uygulamakta kararlıyız________________________________________________https://www.dunya.com/finans/haberler/bakan-yardimcisi-nebati-bu-sefer-dusuk-faiz-politikamizi-uygulamakta-kararliyiz-haberi-640968,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,01 Ara 2021 17:25,https://tr.tradingview.com/chart/XAUTRYG/30KTWMSv/ ---- İLK HEDEF 825 TL SONRA DÖRT HANELİ RAKAMLAR GRAM ALTINDA YTD .,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,01 Ara 2021 17:13,"DOLAR 17 TL OLACAK !!!! Flaş... Flaş... İki ünlü ekonomist Doların 17 lira olacağı tarihi açıkladı !!! İki ünlü ekonomist Remzi Özdemir ve Evren Devrim Zelyut ekonomiyle ilgili bir değerlendirme yaptı ve bundan sonra olacakları açıkladı. Dolar için yeni rakam veren Zelyut ocak ayını işaret ederken, Özdemir ise 'TL henüz dayak yemedi' dedi. https://www.yenicaggazetesi.com.tr/flas-flas-dolarin-17-lira-olacagi-tarihi-acikladi-turk-lirasi-henuz-dayak-yemedi-remiz-ozdemir-ve-evren-devrim-zelyut-acikladi-489308h.htm",0,2026-01-04 19:30:20,XAU/TRY
crazyvillage village,02 Kas 2023 18:42,28 tl olmuş,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,01 Ara 2021 10:43,ERDOĞAN; FAİZ DÜŞECEK TAVİZ YOK.!!!............................ Erdoğan faiz konusunda net: Asla taviz veremem ve vermeyeceğim. .........................https://www.timeturk.com/ekonomi/erdogan-hicbir-zaman-faizin-yukseltilmesini-savunmadim-asla-bu-konudan-taviz-vermem/haber-1711913,0,2026-01-04 19:30:20,XAU/TRY
Vecihi Hüroğlu,01 Ara 2021 07:20,"Dikkatli olmak gerek PARAYI ÇUVALLAYAN ÇUVALLADI TUTAM TUTAM ELİMİZE MAL DAĞITIYORDA OLABİLİRLER,Atı alan üsküdarı geçti:) Alım fırsatı diyenleri uçacak kaçacak diyenleri lütfen dikkate almayın sonra çok üzüle bilirsiniz:) Not:Sadece tavsiyedir YTD.",0,2026-01-04 19:31:21,XAU/TRY
Rüstem Rüstemow,30 Kas 2021 05:48,https://grafik.altin.in/grafik/uyeler/6648/6648_GR2021ht614f.png_____________________________Gram altında Ons a bağlı 680-700 arası bir çekilme yaşanabilir ONS ta 1750 $ lara bir çekilme yaşanır ise Dolarında 11.80-12.30 deteklerine çekilme yaşanabilir 12:90 aşamayan dolar 1796 yı aşamayan ons geri çekilip güç toplamak isteyebilir.,0,2026-01-04 19:31:21,XAU/TRY
Rüstem Rüstemow,29 Kas 2021 13:25,Gram altında Ons a bağlı 680-700 arası bir çekilme yaşanabilir ONS ta 1750 $ lara bir çekilme yaşanır ise Dolarında 11.80-12.30 deteklerine çekilme yaşanabilir 12:70 aşamayan dolar 1796 yı aşamayan ons geri çekilip güç toplamak isteyebilir.,0,2026-01-04 19:31:21,XAU/TRY
Zubuzaretti,29 Kas 2021 11:00,"yorum yapan mı yok, yoksa yorumu mu kapattılar",0,2026-01-04 19:31:21,XAU/TRY
burak yiğit,29 Kas 2021 09:01,haydi yavru üzme bizi,0,2026-01-04 19:31:21,XAU/TRY
burak yiğit,29 Kas 2021 07:20,22.800 bekliyorum haydi sarikız,0,2026-01-04 19:31:21,XAU/TRY
Hülagü Şahin,26 Kas 2021 09:00,"Nebati, faiz ''Düşük faiz politikamızı uygulamaya kararlıyız'' dedi._____________________________ Hazine ve Maliye Bakanı Lütfi Elvan'ın yerine geçeceği konuşulan Bakan Yardımcısı Nureddin Nebati, faiz konusunda dikkat çeken açıklamalarda bulundu. Nebati, ''Düşük faiz politikamızı uygulamaya kararlıyız'' dedi. _______________https://www.haber3.com/ekonomi/bakan-elvanin-yerine-gececegi-konusulan-isimden-dikkat-ceken-faiz-paylasimlari-haberi-6046692",0,2026-01-04 19:31:21,XAU/TRY
